@relation debate 

@attribute verb NUMERIC
@attribute noun NUMERIC
@attribute adj NUMERIC
@attribute adv NUMERIC
@attribute wordnet NUMERIC
@attribute polarity NUMERIC
@attribute sentimentClassAttribute {positive, negative}

@data
0.0, 0.0, -0.17795727231803232, 0.0, -0.17795727231803232, 0.0, positive
0.0, -0.16666666666666666, 0.0, -0.08333333333333333, -0.25, 0.0, negative
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, positive
0.950909090909091, 0.0, 0.0, 0.0, 0.950909090909091, 1.0, positive
0.0, 0.0, 0.7500000000000001, 0.15145985401459855, 0.9014598540145986, 1.0, positive
-0.05727028839160677, 0.05785123966942149, -0.5350000000000001, 0.25, -0.28441904872218543, -1.0, negative
0.0, 0.0, 0.12647831800262813, 0.0, 0.12647831800262813, 3.0, positive
0.004251700680272111, 0.08333333333333333, 0.0, 0.13945578231292519, 0.22704081632653061, 0.0, positive
0.0, 0.0, 0.6337632198238539, 0.0, 0.6337632198238539, 1.0, positive
0.02062568512992925, 0.206911961865038, 0.05222681359044996, -0.03213957759412305, 0.24762488299129415, 1.0, positive
-0.01149418015642329, -0.04275124280863844, 0.9995804833683901, 0.08333333333333333, 1.0286683937366616, 3.0, positive
0.0, 0.026290847583729557, 0.0, 0.0, 0.026290847583729557, 0.0, positive
0.316458736527106, -0.021338572009212846, 0.6337632198238539, 0.0834140225433239, 1.012297406885071, 2.0, positive
0.4525547445255474, 0.0, 0.0, 0.0, 0.4525547445255474, 1.0, positive
0.0, 0.0, 0.0, 0.019283746556473833, 0.019283746556473833, 2.0, positive
0.09284319858108818, 0.0, 0.0, 0.0, 0.09284319858108818, 0.0, negative
0.0, 0.01404965052339329, 0.0, 0.0, 0.01404965052339329, 1.0, positive
1.3216344680860197, 0.12129251700680274, 0.0, 0.0, 1.4429269850928224, 3.0, negative
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, positive
0.538793748377929, 0.125, 1.19, 0.0, 1.853793748377929, 5.0, positive
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, positive
